No,MaterialName,Family,density,tensile strength,elongation at break,modulus if available,"tear or impact related values if available,",minimum service temperature if available,"form availability: film, fiber, sheet, coating, fabric","first impression: impact layer candidate, cut layer candidate, or hybrid layer candidate",Notes
1,Polycarbonate/Thermoplastic Polyurethane Blend,thermoplastic polyurethane,0.0415 - 0.0426 lb/in³,5300 - 8000 psi ,370 - 470 %,0.620 - 380 ksi,,,,,
2,"Thermoplastic Polyurethane, Elastomer, Glass Filled",thermoplastic polyurethane,0.0462 - 0.0600 lb/in³,4060 - 13900 psi,10.0 - 86.0 %,90.0 - 797 ksi,,,,,
3,,thermoplastic polyurethane,,,,,,,,,
4,Alliance Polymers Zythane™ 7085AF Thermoplastic Polyurethane Elastomer,thermoplastic polyurethane,,,,,,,,,
5,Covestro Desmopan® 2792A Thermoplastic Polyurethane,thermoplastic polyurethane,,,,,,,,,
6,BASF Elastollan® 1185 A W TPUR, polyurethane elastomers,1.16 g/cc,40.0 MPa,7,,50.0 kN/m,,,,
7,BASF Elastollan® 1154 D FHF TPUR Flame Retardant Halogen Free,,1.27 g/cc,20.0 MPa,4,,110 kN/m,160 - 220 °C,,,
8,BASF Elastollan® S 50 A SPF TPUR,,1.20 g/cc,35.0 MPa ,9,,40.0 kN/m,175 - 220 °C,,,
9,BASF Elastollan® R 1001 10% Glass Filled TPUR,,1.27 g/cc,30.0 MPa,0.65,,,225 - 245 °C,,,
10,BASF Elastollan® R 2005/1 20% Glass Filled TPUR,,1.35 g/cc,65.0 MPa ,0.2,1.90 GPa,,225 - 245 °C,,,
11,"Cri-Tech Cri-plastMP F-TPX Fluoro - Thermoplastic Elastomers, After E-beam Crosslinking","thermoplastic elastomers,",,13.8 MPa,2,10.3 MPa,,,Tubing/sheet/film,,
12,"Cri-Tech Cri-plastMP F-TPX Fluoro - Thermoplastic Elastomers, As compounded",,,4.83 MPa,>= 500 %,4.14 MPa,,,Tubing/sheet/film,,
13,"A-Glass Fiber, Generic","nylon based films or fibers,",2.44 g/cc ,3310 MPa ,0.048,68.9 GPa,,0.796 J/g-°C,,,
