Rank,Material,Family,Elongation (%),Modulus (MPa),Tensile Strength (MPa),Impact/Tear (MPa),Min Service Temp (°C),Flexibility Score,Cut Resistance Score,Impact Protection Score,Low Temp Score,Total Score (weighted),# Data Fields Available
1,CoorsTek Superstrate? 996 99.6% Alumina Thin Film,,,372000.0,,155000.0,,0.008000088320975096,0.9919999116790249,1.0,0.3,0.5454000044160489,2
2,CoorsTek ADS-995 99.5% Alumina Thin Film,,,372000.0,,155000.0,,0.008000088320975096,0.9919999116790249,1.0,0.3,0.5454000044160489,2
3,"Overview of materials for Polytetrafluoroethylene (PTFE), Carbon Fiber Filled",Polymer,1001.5,,15.3,13.100000000000001,-260.0,1.0,0.0023580178236418878,5.335650136710712e-05,0.966542750929368,0.4956994892867712,4
4,Rchling LAMIGAMID? 700 Ultra High Molecular Weight Polyethylene,,,1100.0,39.0,,-100.0,0.997077674404192,0.005308988444219299,0.0002204584826740085,0.37174721189591076,0.4063760560556544,3
5,"Overview of materials for Phenolic, Novolac, Mineral/Fiber Filled",Polymer,,10000.0,79.0,,,0.9733440790519661,0.02168011816167307,0.0004785310406769449,0.3,0.3922701693248254,2
6,3M Nextel? 312 Industrial Ceramic Fiber,,,150000.0,1700.0,,,0.6000066240731298,0.3908869016264255,0.010936921453745946,0.3,0.3744557732042722,2
7,AGY ZenTron? S-2 Generic S-Glass Fiber,,5.7,86900.0,4445.0,,,0.3867200691920221,0.6158624257878473,0.02864715074669746,0.3,0.37084018210290143,3
8,"C-Glass Fiber, Generic",,4.8,68900.0,3310.0,27000.0,,0.4102707702319527,0.46405173915187814,0.17416781439060325,0.3,0.3626438542048675,4
9,BASF Elastollan? S 50 A SPF TPUR,,900.0,,35.0,,,0.8985983595911965,0.006794784884362536,0.00019465122687371483,0.3,0.36158679156760226,2
10,Overview of materials for Epoxy Adhesive,Polymer,125.0,29567.25,383.138,69.086,-269.0,0.5227567753763829,0.08201853632117202,0.00041456775717591714,1.0,0.3576533458295208,5
11,"Overview of materials for Polycarbonate/ABS Alloy, Unreinforced",Polymer,615.4,6385.0,294.4,51.099999999999994,,0.7986291697746463,0.04111589299090558,0.0002985254314698967,0.3,0.3369146824046918,4
12,"A-Glass Fiber, Generic","nylon based films or fibers,",4.8,68900.0,3310.0,,,0.4102707702319527,0.46405173915187814,0.021324341913364138,0.3,0.33207515970941964,3
13,"Overview of materials for Epoxy, Electrically Conductive",Polymer,27.6,4008.0,34.5,36.690000000000005,-269.0,0.5081833448352706,0.008679627229134379,0.00020555479244933894,1.0,0.3305091698195749,5
14,"Cri-Tech Cri-plastMP F-TPX Fluoro - Thermoplastic Elastomers, As compounded",,500.0,4.14,4.83,,,0.749492991797956,0.0,0.0,0.3,0.3073225471292846,3
15,Overview of materials for Nylon 12,Polymer,294.175,50020.0,,,-100.0,0.5799916706114985,0.13337709914984128,0.0003828828988671066,0.37174721189591076,0.2988488728231369,3
16,CENTROPLAST CENTROLEN PE-UHMW Ultra-high molecular weight polyethylene,,50.0,800.0,20.0,,-200.0,0.5236498719187532,0.0027694263085336853,9.787401762261365e-05,0.7434944237918215,0.2956520214364215,4
17,Polycarbonate/Thermoplastic Polyurethane Blend,thermoplastic polyurethane,420.0,1312.1417756,45.850153999999996,,,0.7077877325769621,0.006363231471538676,0.00026465440181135965,0.3,0.2946876067237606,3
18,ENrG Thin E-Strate? Zirconia Ribbon Ceramic Substrate,,,207000.0,248.0,,,0.4480049459746036,0.303380487575019,0.0015688875982393514,0.3,0.2931296548832648,2
19,BASF Elastollan? 1185 A W TPUR, polyurethane elastomers,700.0,,40.0,,,0.6987921715935542,0.007920867894697725,0.00022691029662408189,0.3,0.2919989024854781,2
20,"Overview of materials for Nylon 6, Impact Grade",Polymer,250.75,1722.5,241.0,,-100.0,0.62269758894072,0.028885874416291295,0.0015237249005888374,0.37174721189591076,0.2826767452186438,4
21,Vapla Vaplatec 1000 Ultra High Molecular Weight Polyethylene,,290.0,915.0,22.0,,,0.6433802496911866,0.0031479779367527454,0.00011077764552276049,0.3,0.27114963630204564,3
22,"Overview of materials for Epoxy, Molded, Glass Fiber Filler",Polymer,1.32,47800.0,1450.0,47.0,,0.4366661003251355,0.22646665530077048,0.00027207299427459575,0.3,0.26582754630288347,4
23,Overview of materials for ABS/Polyurethane Alloy,Polymer,250.0,413.85,41.5,,,0.6240678382684318,0.0046756324298969235,0.000236588017549192,0.3,0.26487375072643005,3
24,"Overview of materials for Polyetheretherketone, Carbon Fiber Filled",Polymer,3.65,86500.0,1450.1325,118.0,-80.0,0.3862294016999326,0.2780821455709466,0.000730151784729808,0.2973977695167286,0.26336063005071564,5
25,Overview of materials for Nylon 6,Polymer,232.25,2050.0,54.0,,,0.6130198812583092,0.008264793610543136,0.0003172356919251097,0.3,0.26209984366195616,3
26,Overview of materials for Ethylene Vinyl Alcohol (EVOH),Polymer,230.0,2090.0,55.5,,,0.6118426375286826,0.008487039984233249,0.00032691341285021974,0.3,0.2617564178128789,3
27,Overview of materials for Epoxy/Carbon Fiber Composite,Polymer,5.715,261310.0,2070.4585,298.445,-59.0,0.15417832791386193,0.5810185757494738,0.0018943493529508047,0.2193308550185874,0.26154648561807203,5
28,"Overview of materials for Nylon 6, Unreinforced",Polymer,250.2,8605.0,117.5,65.1,-60.0,0.6132460874540381,0.02415551721683685,0.0003888508267709245,0.22304832713754652,0.25541780500995054,5
29,"Cri-Tech Cri-plastMP F-TPX Fluoro - Thermoplastic Elastomers, After E-beam Crosslinking","thermoplastic elastomers,",200.0,10.3,13.8,,,0.5996301373757147,0.0010183098842801999,5.7872771132158505e-05,0.3,0.2551876156010106,3
30,"Overview of materials for Liquid Crystal Polymer (LCP), Carbon Fiber Filled",Polymer,150.0,22755.000000000004,,,,0.5443277624036625,0.060669629792712926,0.0003828828988671066,0.3,0.2537921823588692,2
31,Overview of materials for Cyanoacrylate Adhesive,Polymer,171.0,1385.5499999999997,28.84,,,0.5833105018353155,0.004545625642394484,0.0001549080529412626,0.3,0.25055334494566706,3
32,"Overview of materials for Acetal Copolymer, Impact Modified",Polymer,155.0,1611.0000000000002,41.0,,,0.5750176509967492,0.006215545901622714,0.0002333621105741553,0.3,0.24816751404146387,3
33,Overview of materials for Methacrylate Adhesive,Polymer,152.5,984.4499999999999,20.0138,,,0.5746042715446817,0.003016916351555256,9.796305265512467e-05,0.3,0.24703616255663619,3
34,"Overview of materials for Nylon 6, Film Grade",Polymer,201.75,2050.0,80.0,,-60.0,0.5977846594234889,0.01119260943741463,0.00048498285462701836,0.22304832713754652,0.24613665927100287,4
