Rank,No,MaterialName,Family,density,tensile strength,elongation at break,modulus if available,"tear or impact related values if available,",minimum service temperature if available,"form availability: film, fiber, sheet, coating, fabric","first impression: impact layer candidate, cut layer candidate, or hybrid layer candidate",Notes,density_gcc,elongation_pct,strength_mpa,Score
1,141,Styrene/Butadiene/Styrene (SBS),Polymer,0.100 - 1.60 g/cc,0.981 - 180 MPa,190 - 1500 %,,0.981 - 632 kN/m,,,,,0.8500000000000001,845.0,90.4905,0.605915661582375
2,146,"Thermoplastic Polyurethane, Elastomer, Polyester Grade",Polymer,0.992 - 1.44 g/cc,3.45 - 72.1 MPa,10.0 - 1580 %,0.00300 - 0.870 GPa,17.5 - 333 kN/m,,,,,1.216,795.0,37.775,0.5613280425347107
3,132,Very Low Density Polyethylene (VLDPE),Polymer,0.887 - 0.923 g/cc,9.00 - 15.0 MPa,700 - 750 %,,,,,,,0.905,725.0,12.0,0.5564831519408782
4,89,"Polytetrafluoroethylene (PTFE), Carbon Fiber Filled",Polymer,1.98 - 2.65 g/cc,3.00 - 27.6 MPa,3.00 - 2000 %,,10.3421 - 15.8579 MPa,-260 - -20.0 C,,,,2.315,1001.5,15.3,0.5563310527161011
5,14,AGY ZenTron® S-2 Generic S-Glass Fiber,,2.46 g/cc,4445 MPa,0.057,86.9 GPa,,0.737 J/g-C,,,,2.46,0.057,4445.0,0.5457399214774208
6,144,"Thermoset Polyurethane, Elastomer, Unreinforced",Polymer,0.0400 - 1.74 g/cc,0.138 - 79.3 MPa,0.400 - 1300 %,0.00114 - 3.54 GPa,4.30 - 550 kN/m,-60.0 - -3.40 C,,,,0.89,650.2,39.719,0.5346492561206732
7,133,"Linear Low Density Polyethylene (LLDPE), Film Grade",Polymer,0.900 - 1.04 g/cc,7.45 - 62.1 MPa,0.800 - 1300 %,0.0110 - 0.530 GPa,,,,,,0.97,650.4,34.775,0.5291008381803378
8,193,"Thermoset Polyurethane Foam, Unreinforced",Polymer,0.00800 - 1.39 g/cc,0.0207 - 1900 MPa,3.2 - 760 %,0.000138 - 3.45 GPa,0.140 - 10.5 kN/m,,,,,0.699,381.6,950.01035,0.5260424139780798
9,58,"Polycarbonate/ABS Alloy, Unreinforced",Polymer,0.960 - 1.50 g/cc,2.80 - 586 MPa,0.800 - 1230 %,1.67 - 11.1 GPa,40.3 - 61.9 MPa,,,,,1.23,615.4,294.4,0.5198800172977806
10,134,Ethylene Butyl Acrylate,Polymer,0.895 - 1.48 g/cc,0.965 - 31.0 MPa,4.00 - 1210 %,0.0250 - 4.50 GPa,,,,,,1.1875,607.0,15.9825,0.4989886936926526
11,130,"Low Density Polyethylene (LDPE), Extrusion Grade",Polymer,0.915 - 0.960 g/cc,8.96 - 54.0 MPa,164 - 920 %,0.152 - 0.290 GPa,55.0 - 500 g,,,,,0.9375,542.0,31.48,0.4949047548521948
12,131,"Low Density Polyethylene (LDPE), Film Grade",Polymer,0.902 - 1.00 g/cc,7.00 - 34.5 MPa,50.0 - 1000 %,0.140 - 0.480 GPa,20.0 - 373 kN/m,,film,,,0.9510000000000001,525.0,20.75,0.4875568335219573
13,145,"Thermoplastic Polyurethane, Elastomer, Ether Grade",Polymer,1.00 - 1.65 g/cc,1.72 - 90.0 MPa,30.0 - 1040 %,0.0200 - 2.07 GPa,12.4 - 500 kN/m,-50.0 C,,,,1.325,535.0,45.86,0.4682519046030567
14,149,Polyether Ester Elastomer,Polymer,1.05 - 1.48 g/cc,7.00 - 54.0 MPa,50.0 - 980 %,0.0500 - 1.00 GPa,,,,,,1.2650000000000001,515.0,30.5,0.4643763154795289
15,13,"A-Glass Fiber, Generic","nylon based films or fibers,",2.44 g/cc,3310 MPa,0.048,68.9 GPa,,0.796 J/g-C,,,,2.44,0.048,3310.0,0.46192231178979865
16,125,Polyester Film,Polymer,1.00 - 1.51 g/cc,23.0 - 200 MPa,130 - 830 %,3.10 - 4.36 GPa,9.00 - 140 kN/m,-73.3 - -40.0 C,film,,,1.255,480.0,111.5,0.45945763081463364
17,30,"C-Glass Fiber, Generic",,2.52 - 2.56 g/cc,3310 MPa,0.048,68.9 GPa,27.0 GPa,,"fiber,",,,2.54,0.048,3310.0,0.4553670839956328
18,140,"Polypropylene, Film Grade",Polymer,0.886 - 1.46 g/cc,18.8 - 152 MPa,8.00 - 900 %,0.600 - 7.51 GPa,,,,,,1.173,454.0,85.4,0.4542216705015614
19,168,"Styrene Acrylonitrile (SAN), Molded",Polymer,0.901 - 1.36 g/cc,25.8 - 85.5 MPa,1.50 - 900 %,2.90 - 3.80 GPa,,,,,,1.1305,450.75,55.65,0.4536946585300672
20,147,"Silicone Polyurethane, Ether Based",Polymer,0.978 - 1.11 g/cc,12.0 - 60.0 MPa,25.0 - 823 %,0.00800 - 0.750 GPa,20.2 - 175 kN/m,,,,,1.044,424.0,36.0,0.4489878103341256
21,32,Ionomer,Polymer,0.930 - 0.982 g/cc,24.0 - 41.0 MPa,300 - 500 %,,,,Flim,,,0.956,400.0,32.5,0.446505848512251
22,150,Styrenic TPE,Polymer,0.930 - 1.68 g/cc,0.345 - 80.0 MPa,3.8 - 900 %,0.0180 - 0.0680 GPa,20.0 - 29.4 kN/m,,,,,1.305,451.9,40.1725,0.44147772575301886
23,1,Polycarbonate/Thermoplastic Polyurethane Blend,thermoplastic polyurethane,0.0415 - 0.0426 lb/in3,5300 - 8000 psi,370 - 470 %,0.620 - 380 ksi,,,,,,1.163939795,420.0,45.850153999999996,0.4405329074570748
24,20,Graft Polymer GRAFTALEN MP-UHHD 00850 Melt Processable Ultra-High-Molecular-Weight-Polyethylene based on High Density Polyethylene,,0.945 g/cc,27.1 - 32.9 MPa,335 - 401 %,,,,,,,0.945,368.0,30.0,0.43638867512133994
25,161,Polypropylene Copolymer,Polymer,0.780 - 2.77 g/cc,5.00 - 128 MPa,1.30 - 1000 %,0.0340 - 9.50 GPa,,,,,,1.775,500.65,66.5,0.42886848029881525
26,179,"Polypropylene, Extrusion Grade",Polymer,0.886 - 2.00 g/cc,5.78 - 460 MPa,3.0 - 750 %,0.680 - 3.60 GPa,,-30.0 - 2.00 C,,,,1.443,376.5,232.89,0.42178961330770276
27,185,Polypropylene with 10% Talc Filler,Polymer,0.860 - 1.38 g/cc,2.50 - 105 MPa,4.0 - 700 %,1.00 - 5.10 GPa,,,,,,1.1199999999999999,352.0,53.75,0.42137291678877764
28,87,Epoxy/Carbon Fiber Composite,Polymer,1.15 - 2.25 g/cc,0.917 - 4140 MPa,0.430 - 11.0 %,2.62 - 520 GPa,6.89 - 590 MPa,-59.0 - 10.0 C,fiber,,,1.7,5.715,2070.4585,0.41935084520321464
29,182,"Polypropylene, Sheet/Thermoforming Grade",Polymer,0.900 - 1.13 g/cc,17.9 - 35.9 MPa,7.0 - 640 %,0.280 - 2.05 Gpa,,,,,,1.015,323.5,26.9,0.416756318823428
