Rank,Material,Family,Density (g/cc),Elongation (%),Tensile Strength (MPa),Score (0–1)
1,BASF Elastollan? S 50 A SPF TPUR,,1.2,900.0,35.0,0.5939837019014985
2,BASF Elastollan? 1185 A W TPUR, polyurethane elastomers,1.16,700.0,40.0,0.5338453386399071
3,"Overview of materials for Polycarbonate/ABS Alloy, Unreinforced",Polymer,1.23,615.4,294.4,0.5141195122182217
4,Overview of materials for Ionomer,Polymer,0.956,400.0,32.5,0.4644293439364784
5,"Overview of materials for Polytetrafluoroethylene (PTFE), Carbon Fiber Filled",Polymer,2.315,1001.5,15.3,0.456594289794303
6,Graft Polymer GRAFTALEN? MP-UHHD 00850 Melt Processable Ultra-High-Molecular-Weight-Polyethylene based on High Density Polyethylene,,0.945,368.0,30.0,0.45525958125497695
7,Polycarbonate/Thermoplastic Polyurethane Blend,thermoplastic polyurethane,1.163939795,420.0,45.850153999999996,0.44044203871881393
8,AGY ZenTron? S-2 Generic S-Glass Fiber,,2.46,5.7,4445.0,0.4355116176578126
9,Vapla Vaplatec 1000 Ultra High Molecular Weight Polyethylene,,0.93,290.0,22.0,0.43096721088866397
10,BASF Elastollan? 1154 D FHF TPUR Flame Retardant Halogen Free,,1.27,400.0,20.0,0.4156977971000319
11,Overview of materials for ABS/Polyurethane Alloy,Polymer,1.085,250.0,41.5,0.3955188485588526
12,Overview of materials for Ethylene Vinyl Alcohol (EVOH),Polymer,1.1800000000000002,230.0,55.5,0.37545015130920634
13,Overview of materials for Methacrylate Adhesive,Polymer,1.0,152.5,20.0138,0.3743746711193512
14,Overview of materials for Epoxy/Carbon Fiber Composite,Polymer,1.7,5.715,2070.4585,0.37290417180494817
15,Overview of materials for Nylon 6,Polymer,1.21,232.25,54.0,0.37152058866551346
16,Overview of materials for Cyanoacrylate Adhesive,Polymer,1.113,171.0,28.84,0.3639986759857063
17,"Overview of materials for Nylon 6, Film Grade",Polymer,1.21,201.75,80.0,0.36331595469468086
18,"A-Glass Fiber, Generic","nylon based films or fibers,",2.44,4.8,3310.0,0.3530358574529628
19,"Overview of materials for Acrylonitrile Butadiene Styrene (ABS), Sheet",Polymer,1.0275,98.9,28.95,0.3530105902503482
20,CENTROPLAST CENTROLEN PE-UHMW Ultra-high molecular weight polyethylene,,0.94,50.0,20.0,0.3493724979370237
21,Overview of materials for Nylon 66,Polymer,1.12,105.0,80.5,0.344833378951388
22,Overview of materials for Acrylonitrile Butadiene Styrene (ABS)/Nylon Blend,Polymer,1.125,116.55,33.9,0.34441970478218287
23,"Overview of materials for Acrylic, General Purpose, Molded",Polymer,1.0,43.0,52.15,0.340322952030498
24,"Overview of materials for Acetal Copolymer, Impact Modified",Polymer,1.24,155.0,41.0,0.3402532416222978
25,"Overview of materials for Polyetheretherketone, Carbon Fiber Filled",Polymer,1.6099999999999999,3.65,1450.1325,0.3393386597213026
26,"C-Glass Fiber, Generic",,2.54,4.8,3310.0,0.3378151573007557
27,"Overview of materials for Acrylonitrile Butadiene Styrene (ABS), Extruded",Polymer,1.105,76.5,48.05,0.3351892185056223
28,"Overview of materials for Epoxy, Molded, Glass Fiber Filler",Polymer,1.6550000000000002,1.32,1450.0,0.33170348201015165
29,"Overview of materials for Nylon 6, Nucleated",Polymer,1.255,121.5,70.0,0.3289917232946899
30,"Overview of materials for Acrylic, Extruded",Polymer,1.0659999999999998,30.5,61.05,0.32678290744468763
31,"Overview of materials for Acrylonitrile Butadiene Styrene (ABS), Transparent, Molded",Polymer,1.1,40.0,43.5,0.3234537454742094
32,"Overview of materials for Nylon 6, Carbon Fiber Filled",Polymer,1.505,10.5,955.5,0.3204625938519148
33,"Overview of materials for Acetal Copolymer, Unreinforced",Polymer,1.33,125.75,48.4,0.31736968044866815
34,"Overview of materials for Acrylonitrile Butadiene Styrene (ABS)/Nylon Blend, Glass Reinforced",Polymer,1.295,101.0,80.5,0.3168651124317082
35,"Overview of materials for Acrylic, Gamma Radiation Resistant, Molded",Polymer,1.125,27.5,43.3,0.3154709247458039
36,"
Overview of materials for Cellulose Acetate Propionate, Molded",Polymer,1.19,60.0,8.0,0.3137498442656244
37,Overview of materials for Nylon 11 + Carbon Fiber,Polymer,1.13,6.0,120.5,0.313346642663809
38,"Overview of materials for Polycarbonate/ABS Alloy, Glass Fiber Filled",Polymer,1.221,54.8,79.0,0.31263072826550087
39,"Overview of materials for Acrylic, Optical Grade, Molded",Polymer,1.15,21.0,63.65,0.3110291393987758
40,Overview of materials for Acrylic/Polycarbonate Alloy,Polymer,1.205,48.0,50.65,0.3106729424820987
41,"Overview of materials for Acrylic, UV Stabilized, Molded",Polymer,1.1749999999999998,26.0,56.2,0.3083296411056953
42,"
Overview of materials for Acrylonitrile Butadiene Styrene (ABS), Heat Resistant, Molded",polymer,1.195,36.25,41.3,0.3075801071435286
43,BASF Elastollan? R 1001 10% Glass Filled TPUR,,1.27,65.0,30.0,0.3048901808214948
44,"Overview of materials for Acrylonitrile Butadiene Styrene (ABS), 10% Carbon Fiber Filled",Polymer,1.165,5.35,75.65,0.3044354293965154
45,"Overview of materials for Acrylic, Optical Sheet",Polymer,1.17,4.9,68.5,0.30298769008683535
46,"Overview of materials for Acrylonitrile Butadiene Styrene (ABS), PTFE Filled",Polymer,1.185,13.5,39.65,0.30140230414718117
47,"Overview of materials for Acrylonitrile Butadiene Styrene (ABS), 20% Carbon Fiber Filled",Polymer,1.2000000000000002,1.5,112.5,0.3005929351978312
48,"Overview of materials for Acrylonitrile Butadiene Styrene (ABS), Unreinforced, Flame Retardant",Polymer,1.2349999999999999,29.0,36.8,0.2987396249019417
49,"Overview of materials for Nylon 66, Aramid Fiber Filled",Polymer,1.23,5.8,93.15,0.29600579664050214
50,"Overview of materials for Acrylonitrile Butadiene Styrene (ABS), Glass Bead Filled",Polymer,1.22,8.35,34.5,0.2939733740565536
51,"Overview of materials for Nylon 66, Mineral Filled, NCG Fiber Filled",Polymer,1.2599999999999998,2.75,137.95,0.2937876624561084
52,"Overview of materials for Acrylonitrile Butadiene Styrene (ABS), 10% Glass Fiber Filled",Polymer,1.23,6.0,58.15,0.2934444632993219
53,"Overview of materials for Acrylonitrile Butadiene Styrene (ABS), 30% Carbon Fiber Filled",Polymer,1.265,2.0,106.15,0.2903892026894351
54,"
Overview of materials for Acetal Copolymer, Aramid Fiber Filled",Polymer,1.2650000000000001,7.0,63.85,0.28887820661086233
55,"Overview of materials for Acrylic/Polycarbonate Alloy, Carbon Fiber Filler",Polymer,1.2850000000000001,1.75,119.05,0.2882303919866503
56,"Overview of materials for Polycarbonate/ABS Alloy, Carbon Fiber Filled",Polymer,1.285,2.25,116.3,0.2881904165044414
57,"Overview of materials for Acrylonitrile Butadiene Styrene (ABS), Stainless Steel Fiber Filled",Polymer,1.255,5.5,36.3,0.2878322005739187
58,"Overview of materials for Acrylonitrile Butadiene Styrene (ABS), 20% Glass Fiber Filled",Polymer,1.275,6.0,71.5,0.2875975178777243
59,"Overview of materials for Acrylonitrile Butadiene Styrene (ABS), Glass Fiber Filled, Flame Retardant",Polymer,1.305,20.75,60.0,0.2870797454638358
60,"Overview of materials for Acrylonitrile Butadiene Styrene (ABS), NCG Fiber Filled",Polymer,1.29,1.5,82.9,0.284671822547878
61,"Overview of materials for Nylon 6, PTFE Filled",Polymer,1.325,13.5,84.0,0.2834232935101078
62,"Overview of materials for Polycarbonate/ABS Alloy, NCG Fiber Filled",Polymer,1.315,2.75,107.55,0.2831337277644825
63,"Overview of materials for Nylon 6, 20% Mineral Filled",Polymer,1.355,25.45,86.5,0.2830242663804354
64,"Overview of materials for Nylon 66, Carbon Fiber/PTFE Filled",Polymer,1.355,2.45,158.4,0.2807635593320458
65,BASF Elastollan? R 2005/1 20% Glass Filled TPUR,,1.35,20.0,65.0,0.28035609200375217
66,"Overview of materials for Nylon 6, Mineral Reinforced, Impact Grade",Polymer,1.3599999999999999,23.5,65.0,0.27999955808518434
67,"Overview of materials for Polycarbonate/ABS Alloy, Antistat/Conductive",Polymer,1.335,5.5,80.95,0.2790081351887739
68,"Overview of materials for Nylon 66, Mineral Filled, Impact Grade",Polymer,1.35,10.25,86.8,0.27874606978604316
69,"Overview of materials for Acrylonitrile Butadiene Styrene (ABS), 30% Glass Fiber Filled",Polymer,1.335,3.5,79.5,0.27823324295252716
70,"Overview of materials for Polyaryletherketone (PAEK), Carbon Fiber Filled",Polymer,1.42,12.9,178.5,0.275859247767898
71,"Overview of materials for Acrylonitrile Butadiene Styrene (ABS), 40% Glass Fiber Filled",Polymer,1.35,2.5,82.5,0.2758423792224106
72,"Overview of materials for Acetal Copolymer, Silicone Filled",Polymer,1.455,46.25,75.7,0.27391927496372176
73,"Overview of materials for Polyetheretherketone, PEEK, Aramid Fiber Filled",Polymer,1.405,3.5,134.0,0.271670823689114
74,"Thermoplastic Polyurethane, Elastomer, Glass Filled",thermoplastic polyurethane,1.4698026899999999,48.0,61.9149448,0.271213934678286
75,"Overview of materials for Acetal Copolymer, Carbon Fiber Filled",Polymer,1.49,12.8,141.0,0.26235581155447074
76,"Overview of materials for Nylon 46, Glass Fiber Reinforced",Polymer,1.52,8.15,170.0,0.25841853574358514
77,"Overview of materials for Epoxy, High Temperature",Polymer,1.625,25.5,179.4,0.24892031788563732
78,"Overview of materials for Phenolic, Ablative Coating",Polymer,1.55,6.58,22.349999999999998,0.24224336629519938
79,Overview of materials for Melamine-Phenolic Copolymer,Polymer,1.655,0.71,64.5,0.22747164566105593
80,"Overview of materials for Liquid Crystal Polymer (LCP), Mineral Filled",Polymer,1.705,3.35,125.5,0.22532055880170243
81,"Overview of materials for Liquid Crystal Polymer (LCP), Unfilled",Polymer,1.7,2.3499999999999996,107.0,0.22435953192537902
82,"Overview of materials for Acrylonitrile Butadiene Styrene (ABS), Plating Grade",Polymer,1.7650000000000001,36.5,34.0,0.2203572566129074
83,"Overview of materials for Nylon 6, Impact Grade",Polymer,2.5,250.75,241.0,0.1953749309420434
84,"Overview of materials for Epoxy, Cast, Metal Filled",Polymer,2.0395,65.0,29.8795,0.1877578455440859
85,"Overview of materials for Nylon 6, Unreinforced",Polymer,2.585,250.2,117.5,0.1729813223581936
86,Overview of materials for Epoxy Adhesive,Polymer,2.4684999999999997,125.0,383.138,0.16896567551544114
87,"
Overview of materials for Acrylonitrile Butadiene Styrene (ABS), Molded",Polymer,2.191,55.7,39.5,0.16232383325817745
88,"COI Ceramics Sylramic? S400 Silicon Carbide Ceramic Matrix Composite, Carbon",,2.1,0.53,5.52,0.1552511415525114
89,"Overview of materials for Acrylonitrile Butadiene Styrene (ABS), Impact Grade, Molded",Polymer,2.25,7.0,81.0,0.140241998459508
90,"Overview of materials for Epoxy, Electrically Conductive",Polymer,3.12,27.6,34.5,0.011190519696211529
