Rank,No,MaterialName,Family,density,tensile strength,elongation at break,modulus if available,"tear or impact related values if available,",minimum service temperature if available,"form availability: film, fiber, sheet, coating, fabric","first impression: impact layer candidate, cut layer candidate, or hybrid layer candidate",Notes,density_gcc,Density,elongation_pct,Elongation,strength_mpa,Strength,Score
1,141,Styrene/Butadiene/Styrene (SBS),Polymer,0.100 - 1.60 g/cc,0.981 - 180 MPa,190 - 1500 %,,0.981 - 632 kN/m,,,,,0.8500000000000001,0.850g/cc,845.0,845.0%,90.4905,90.5MPa,0.6059
2,146,"Thermoplastic Polyurethane, Elastomer, Polyester Grade",Polymer,0.992 - 1.44 g/cc,3.45 - 72.1 MPa,10.0 - 1580 %,0.00300 - 0.870 GPa,17.5 - 333 kN/m,,,,,1.216,1.216g/cc,795.0,795.0%,37.775,37.8MPa,0.5613
3,132,Very Low Density Polyethylene (VLDPE),Polymer,0.887 - 0.923 g/cc,9.00 - 15.0 MPa,700 - 750 %,,,,,,,0.905,0.905g/cc,725.0,725.0%,12.0,12.0MPa,0.5565
4,89,"Polytetrafluoroethylene (PTFE), Carbon Fiber Filled",Polymer,1.98 - 2.65 g/cc,3.00 - 27.6 MPa,3.00 - 2000 %,,10.3421 - 15.8579 MPa,-260 - -20.0 C,,,,2.315,2.315g/cc,1001.5,1001.5%,15.3,15.3MPa,0.5563
5,14,AGY ZenTron® S-2 Generic S-Glass Fiber,,2.46 g/cc,4445 MPa,0.057,86.9 GPa,,0.737 J/g-C,,,,2.46,2.460g/cc,0.057,0.1%,4445.0,4445.0MPa,0.5457
6,144,"Thermoset Polyurethane, Elastomer, Unreinforced",Polymer,0.0400 - 1.74 g/cc,0.138 - 79.3 MPa,0.400 - 1300 %,0.00114 - 3.54 GPa,4.30 - 550 kN/m,-60.0 - -3.40 C,,,,0.89,0.890g/cc,650.2,650.2%,39.719,39.7MPa,0.5346
7,133,"Linear Low Density Polyethylene (LLDPE), Film Grade",Polymer,0.900 - 1.04 g/cc,7.45 - 62.1 MPa,0.800 - 1300 %,0.0110 - 0.530 GPa,,,,,,0.97,0.970g/cc,650.4,650.4%,34.775,34.8MPa,0.5291
8,193,"Thermoset Polyurethane Foam, Unreinforced",Polymer,0.00800 - 1.39 g/cc,0.0207 - 1900 MPa,3.2 - 760 %,0.000138 - 3.45 GPa,0.140 - 10.5 kN/m,,,,,0.699,0.699g/cc,381.6,381.6%,950.01035,950.0MPa,0.5260
9,58,"Polycarbonate/ABS Alloy, Unreinforced",Polymer,0.960 - 1.50 g/cc,2.80 - 586 MPa,0.800 - 1230 %,1.67 - 11.1 GPa,40.3 - 61.9 MPa,,,,,1.23,1.230g/cc,615.4,615.4%,294.4,294.4MPa,0.5199
10,134,Ethylene Butyl Acrylate,Polymer,0.895 - 1.48 g/cc,0.965 - 31.0 MPa,4.00 - 1210 %,0.0250 - 4.50 GPa,,,,,,1.1875,1.188g/cc,607.0,607.0%,15.9825,16.0MPa,0.4990
